,Row_IDX_to_RM
0,2048
1,2049
2,2
3,2050
4,2051
5,2052
6,2053
7,2054
8,2055
9,2057
10,10
11,2059
12,525
13,2064
14,530
15,1555
16,21
17,23
18,536
19,24
20,26
21,27
22,28
23,29
24,30
25,31
26,32
27,33
28,34
29,540
30,548
31,1566
32,1567
33,551
34,1568
35,1569
36,1570
37,1067
38,556
39,1572
40,1573
41,1574
42,1575
43,561
44,1577
45,1578
46,564
47,568
48,575
49,579
50,88
51,606
52,618
53,623
54,2167
55,2168
56,2173
57,2174
58,2175
59,2176
60,2177
61,2178
62,2179
63,2180
64,2181
65,2182
66,2183
67,2184
68,2185
69,2186
70,651
71,2187
72,2188
73,2189
74,2190
75,2191
76,2192
77,2193
78,2041
79,148
80,149
81,661
82,2194
83,2195
84,2196
85,2197
86,2198
87,2199
88,2200
89,2201
90,2202
91,2203
92,2204
93,2205
94,2206
95,2207
96,2208
97,2209
98,2210
99,2211
100,2212
101,2213
102,2214
103,2215
104,2216
105,686
106,2217
107,2218
108,689
109,2219
110,2220
111,2221
112,2222
113,2223
114,2224
115,2225
116,2072
117,2226
118,2227
119,2228
120,2229
121,2073
122,2230
123,2231
124,2232
125,2074
126,2075
127,715
128,2076
129,720
130,2077
131,2078
132,732
133,2079
134,1571
135,2080
136,2081
137,2082
138,1576
139,777
140,1579
141,295
142,1835
143,313
144,321
145,327
146,341
147,855
148,856
149,346
150,1909
151,1910
152,1911
153,1912
154,377
155,1913
156,1914
157,1915
158,1916
159,382
160,384
161,898
162,387
163,1924
164,389
165,390
166,391
167,394
168,396
169,398
170,399
171,401
172,402
173,403
174,405
175,415
176,416
177,418
178,419
179,420
180,421
181,422
182,423
183,424
184,1448
185,957
186,1987
187,1989
188,1990
189,1991
190,456
191,1992
192,1993
193,459
194,1994
195,461
196,1995
197,1996
198,1997
199,1998
200,1999
201,2000
202,2001
203,2003
204,475
205,480
206,482
207,488
208,490
209,505
210,2045
211,2046
212,2047
